Source,Target,Type,Kind,Id,Label,Interval,user_id_retweet,weight
198941960,231902290,Directed,,4351,,,231902290,0.39589442815249265
198941960,231902290,Directed,,4352,,,231902290,0.39589442815249265
630008725,231902290,Directed,,4353,,,231902290,0.39589442815249265
404961989,231902290,Directed,,4354,,,231902290,0.39589442815249265
2384116548,231902290,Directed,,4355,,,231902290,0.39589442815249265
1063551511,231902290,Directed,,4356,,,231902290,0.39589442815249265
2378380248,231902290,Directed,,4357,,,231902290,0.39589442815249265
1147835163176570880,231902290,Directed,,4358,,,231902290,0.39589442815249265
627128494,231902290,Directed,,4359,,,231902290,0.39589442815249265
407093504,231902290,Directed,,4360,,,231902290,0.39589442815249265
48971201,231902290,Directed,,4361,,,231902290,0.39589442815249265
53773490,231902290,Directed,,4362,,,231902290,0.39589442815249265
3407360374,231902290,Directed,,4363,,,231902290,0.39589442815249265
1248592634752401408,231902290,Directed,,4364,,,231902290,0.39589442815249265
948578516982956035,231902290,Directed,,4365,,,231902290,0.39589442815249265
966592213,231902290,Directed,,4366,,,231902290,0.39589442815249265
2320659787,231902290,Directed,,4367,,,231902290,0.39589442815249265
291902195,231902290,Directed,,4368,,,231902290,0.39589442815249265
210404013,231902290,Directed,,4369,,,231902290,0.39589442815249265
25812854,231902290,Directed,,4370,,,231902290,0.39589442815249265
42619381,231902290,Directed,,4371,,,231902290,0.39589442815249265
1159206898337533952,231902290,Directed,,4372,,,231902290,0.39589442815249265
2348367012,231902290,Directed,,4373,,,231902290,0.39589442815249265
328486212,231902290,Directed,,4374,,,231902290,0.39589442815249265
1063551511,231902290,Directed,,4375,,,231902290,0.39589442815249265
473883949,231902290,Directed,,4376,,,231902290,0.39589442815249265
3407360374,231902290,Directed,,4377,,,231902290,0.39589442815249265
948578516982956035,231902290,Directed,,4378,,,231902290,0.39589442815249265
48971201,231902290,Directed,,4379,,,231902290,0.39589442815249265
424322762,231902290,Directed,,4380,,,231902290,0.39589442815249265
1316005306363764737,231902290,Directed,,4381,,,231902290,0.39589442815249265
2435203469,231902290,Directed,,4382,,,231902290,0.39589442815249265
806803817794633728,1203597456031834113,Directed,,4383,,,1203597456031834113,0.028592375366568914
1036611673,1385660793031696388,Directed,,4384,,,1385660793031696388,0.0021994134897360706
1160336089,22038676,Directed,,4385,,,22038676,0.4237536656891496
939483318,22038676,Directed,,4386,,,22038676,0.4237536656891496
526643802,22038676,Directed,,4387,,,22038676,0.4237536656891496
249279114,22038676,Directed,,4388,,,22038676,0.4237536656891496
174607954,22038676,Directed,,4389,,,22038676,0.4237536656891496
1055485253450645504,829515324563345408,Directed,,4390,,,829515324563345408,0.0
2714172076,351445191,Directed,,4391,,,351445191,0.0
420405373,22038676,Directed,,4392,,,22038676,0.4237536656891496
471859605,22038676,Directed,,4393,,,22038676,0.4237536656891496
448151015,22038676,Directed,,4394,,,22038676,0.4237536656891496
934842388627017728,934842388627017728,Directed,,4395,,,934842388627017728,0.004398826979472141
12893192,402227505,Directed,,4396,,,402227505,0.0
2503687414,22038676,Directed,,4397,,,22038676,0.4237536656891496
2925117455,1203597456031834113,Directed,,4398,,,1203597456031834113,0.028592375366568914
1344291383306309634,1203597456031834113,Directed,,4399,,,1203597456031834113,0.028592375366568914
1262739230062546947,22038676,Directed,,4400,,,22038676,0.4237536656891496
1058440837,22038676,Directed,,4401,,,22038676,0.4237536656891496
730116701589753857,22038676,Directed,,4402,,,22038676,0.4237536656891496
418651808,22038676,Directed,,4403,,,22038676,0.4237536656891496
318257091,444225252,Directed,,4404,,,444225252,0.02932551319648094
754709275730120704,22038676,Directed,,4405,,,22038676,0.4237536656891496
1432941587324092418,1455108779020853256,Directed,,4406,,,1455108779020853256,0.0
996571967598813187,1203597456031834113,Directed,,4407,,,1203597456031834113,0.028592375366568914
469286534,22038676,Directed,,4408,,,22038676,0.4237536656891496
765195398587805696,22038676,Directed,,4409,,,22038676,0.4237536656891496
948408626,22038676,Directed,,4410,,,22038676,0.4237536656891496
82837121,1203597456031834113,Directed,,4411,,,1203597456031834113,0.028592375366568914
555556029,1203597456031834113,Directed,,4412,,,1203597456031834113,0.028592375366568914
