Source,Target,Type,Kind,Id,Label,Interval,Weight
390915227,505083,Directed,,1,,,2.0
291706540,16145985,Directed,,2,,,2.0
448357661,324291796,Directed,,3,,,2.0
2216051760,3026367370,Directed,,4,,,2.0
1450706221980344321,1455204821242372096,Directed,,5,,,2.0
3154745633,348988851,Directed,,6,,,2.0
1451296948603039750,16145985,Directed,,7,,,2.0
1229014265673256961,324291796,Directed,,8,,,2.0
836972174539911169,14724500,Directed,,9,,,2.0
985616185818599424,104275102,Directed,,10,,,2.0
2269138801,16145985,Directed,,11,,,2.0
168130221,505083,Directed,,12,,,2.0
1420711554270511107,1272821807658172418,Directed,,13,,,2.0
719817768690786304,739729140887216128,Directed,,14,,,2.0
2393110796,2608133516,Directed,,15,,,2.0
1356572433793351683,324291796,Directed,,16,,,2.0
1367905518,416428550,Directed,,17,,,2.0
14561296,324291796,Directed,,18,,,2.0
1051326542293475328,16145985,Directed,,19,,,2.0
158147964,1272821807658172418,Directed,,20,,,2.0
1352640318613692423,1269037446,Directed,,21,,,2.0
2713176561,324291796,Directed,,22,,,2.0
2713176561,1432941587324092418,Directed,,23,,,2.0
1475020329890324480,2559027901,Directed,,24,,,2.0
1177290360877453312,16145985,Directed,,25,,,2.0
1475020329890324480,2559027901,Directed,,26,,,2.0
2713176561,1272821807658172418,Directed,,27,,,2.0
18304378,504702610,Directed,,28,,,2.0
964213878,1423290967746961418,Directed,,29,,,2.0
1467042154690265089,1344299147264974851,Directed,,30,,,2.0
908731428124397568,924972266638725120,Directed,,31,,,2.0
204814083,16145985,Directed,,32,,,2.0
2924378676,16145985,Directed,,33,,,2.0
110730767,1103693880388657152,Directed,,34,,,2.0
4160203479,1432941587324092418,Directed,,35,,,2.0
144313291,324291796,Directed,,36,,,2.0
1432813385821851650,16145985,Directed,,37,,,2.0
3084886731,16145985,Directed,,38,,,2.0
1710090499,16145985,Directed,,39,,,2.0
120534956,16145985,Directed,,40,,,2.0
17510572,416428550,Directed,,41,,,2.0
1069926132231925760,1455494641453764612,Directed,,42,,,2.0
2608133516,2608133516,Directed,,43,,,2.0
1147108037204856832,16145985,Directed,,44,,,2.0
