Id,Label,Interval
1474025293430104076,FerranteViola,
1474024862498840583,forza_italia,
1474020110264377350,Frances69744637,
1474017278056288262,Ilpolverone,
1474016319813165061,massimo_aletti,
1474014690988732422,morgabella,
1474013702823284738,pecolx,
1474012695674322946,Titticri1984,
1474012081276039172,AquilaN30811108,
1474011840392970241,bevgi,
1474011485991055369,MassiRibox,
1474011370735779844,LuigiIvanV,
1474011298824400896,MissLemon79,
1474010645850988552,giudit70,
1474010615551336455,Antomj72,
1474010581942390784,SoniaLaVera,
1474010112155074562,Antonio70674179,
1474009520527523843,marcuspascal1,
1474009471655591941,Testament73,
1474009411601510400,margher75500696,
1474009159255437317,sissyturtlexxx,
1474009084076642308,MaMaurizi9,
1474009030670659587,DoniFaltoni,
1474008991483187203,v__andrea,
1474008947304640514,Sandro15533442,
1474008833941028870,OrtigiaP,
1474008629716082688,GRETA1SGARBO,
1474007626358865926,mrcrto,
1474007467126308875,Marcogayamarco,
1474005486487887872,Net2Ayurveda,
1474003352023351298,Piero42395724,
1474002977602084874,viralvideovlogs,
1474002969838370824,IvanaIv29438384,
1474002341535928324,antondepierro,
1474001901054218246,G_19_09,
1474001394298462220,Lellauzza,
1473997161931198468,Olindo35055898,
1473992282055532555,RobMacCready,
1473992080963821570,davide76542705,
1473991715367309315,EnzoCare2,
1473990554383962114,IMoresi,
1473989888605396998,Side73Dark,
1473988808471465989,DocBrownBruni,
1473987824462581767,RobertoSavasini,
1473987593700319246,DottFinocchiaro,
1473986497439318018,FreeNewsWorld,
1473986380116205571,Jucaz_VFC,
1473986337191702531,giuliramone,
1473986186477776905,EnricoAncillott,
1473984833357496327,DanieleO69,
1473984241717424141,Ninanina1215,
1473983615348482048,so_matic,
1473983195087523842,EURybor,
1473980965248802822,GianandreaGorla,
1473978872462864384,adrianobusolin,
1473973854708322310,EmyRoyaleagle,
1473968489429966852,FraViviana15,
1473968297968377861,babyspettri,
1473967429101539329,conscaza,
1473967067141480452,SSaponelli,
1473966917308366848,LiPopulista,
1473965359984263172,Carlo96446381,
1473965136985661454,giovannilegena,
1473965076742819844,Daniele36849272,
1473962090952110082,9091campioni,
1473959364276989952,MariellaLoi,
1473957682512023556,GirolamoMaggio,
1473950533069250560,GiovanniGiuli,
1473949616680878082,Genjuro75,
1473946471879921667,CarmenDAddio81,
1473944787321593858,isabeaubless,
1473944414510891010,isabeaubless,
1473944385830244354,Brigante1959,
1473943541130960905,miridesant,
1473940813029773315,MeleoFernando,
1473940070986141704,Cristin68904460,
1473939623814565890,MutiLeonilde,
1473939337801007115,NoGreenPass_,
1473936976168554496,SoniaLaVera,
1473933365120282625,Filomen30847137,
1473931773549727748,BellomoAlexis,
1473931617135738882,gaiaferrara22,
1473930494098161664,gael99,
1473929064251539456,vago7858,
1473927666839523328,stregaira,
1473927121298931713,2Qrocky,
1473922581585711105,Mare09099675,
1473920543275556864,CrisAvalon,
1473917976306987021,Lore41714593,
1473917611909992454,SoniaLaVera,
1473915411485888517,rinobruno62,
1473914747720454145,carmas75,
1473913923623690241,katiaamore,
1473913320876949507,Patrizia_MB,
1473913247787106309,dayflyer,
1473912916562923525,NadiaPolo2,
1473912373106851845,CNike60,
1473910945814654977,Gilda21953339,
1473909696172019721,campeggiani,
1473908211153575937,HoleForFun,
1473907671355076610,Skittygoa,
1473906894502862848,maxxxks,
1473905820870057987,crotti8,
1473905220824576006,montox1,
1473904170864361475,ingcaustico,
1473903336126562306,MaxxMono,
1473903093486129155,Giancar14502742,
1473901035785760768,silvia92745700,
1473900505495711751,75alina1,
1473898960473538564,mariacarla1963,
1473895241296060417,_TYPEONEGATIVE_,
1473893593718956033,FabbFR2019,
1473892588197396481,LuigiColline,
1473890777747148805,massimocajati,
1473886039425048576,zampino12345678,
1473884872645427203,pacripi,
1473867666729443338,EmyRoyaleagle,
1473864011640983558,LRoventini,
1473857562135207937,1BlueWinger,
1473851598786945024,Mdicintio1,
1473850676824489986,gabriel_msms,
1473841454535647232,cindykia25644,
1473839262642675714,Freak_Nick_,
1473838957829971970,_Cinico2_,
1473838709401436161,bildarte,
1473838588920012800,bar1_bruno,
1473838130084163584,mostra76,
1473834022556024832,ShinyLale,
1473833511685664774,AndreaSosia,
1473831179526844423,_torm3nto_,
1473830857370701825,francyelia29,
1473824046018088962,Fa60za1,
1473822755640512515,QuestoTizio,
1473819463002767365,Llukas79,
1473818657902018571,Marks41963878,
1473818447075291140,William70478369,
1473817377963925504,StefaniaVaselli,
1473816742593978369,Mgthre1,
1473816289319792646,Gianvittorio77,
1473816180146282503,emiliano87tw,
1473815358972772357,EsercitoCrucian,
1473814426285400065,ElenaOp14657178,
1473812618242629639,LucasMGian,
1473811415840481287,fremo03893514,
1473807397885984774,RomGarg,
1473805574143893505,Rosalba_Falzone,
1473803957118058498,VeroTi2,
1473797386631892992,boletusatanas,
1473792691347546122,FabryFranco_nr2,
1473790956239564805,dariomasiero,
1473790876589641728,franciceo,
1473790606690467852,a_agabito,
1473789853943083009,mihirdjin,
1473789021495169039,Principe3001979,
1473788962967859201,470simone,
1473787529686134789,isamiccoli52,
1473787404792348677,FairyRainDarcy,
1473786759238541313,Lele753,
1473786232325001217,radmic11,
1473784731544297478,AChierchini,
1473784441222963208,carlo_conforti,
1473784408972972043,tamangha,
1473782439436767243,Mcclane272,
1473781661456379908,Lurlooo,
1473781117434085381,giuz73,
1473780932222066698,asg7139,
1473780840047861763,faeryqveen,
1473777191456587782,elivito,
1473775983996063746,anto_a_a,
1473775065225478159,Martina95190659,
1473774807011442693,martiveroo,
1473772205884383233,viralvideovlogs,
1473771185976532998,riccardopietri,
1473770184750125057,Massimiliana21,
1473768911355228162,fabrizio1972b,
1473768103771267077,VCountry3,
1473767342471581706,Marylu58121349,
1473766608774565898,PCad19,
1473765310541017101,paolasoriani53,
1473764715746758663,granati_mauro,
1473764682347470859,AndreaS83035169,
1473763560295645185,Kenzo07999025,
1473761621222776835,Flavio_Difra,
1473761186965602305,gsoricaro,
1473760837965950986,Ettore79597694,
1473760237987504129,ClaudiaBen69,
1473760200070938629,Roby86341796,
1473759561928650765,FlatMarco,
1473758028801392642,Lulu79955474,
1473757198874460167,gpgp5532188,
1473756544726704135,Skarrozzz,
1473756407543574530,dileguossi,
1473755897717530627,sandracatalano,
1473754547982159875,nerosolari,
1473754527438409735,CiccioniSe,
1473753297718845440,protoromantica,
1473753246690942989,mauro_arena,
1473753091854016514,six_182,
1473752474129420302,Marco1999Busa,
1473751091024207876,scimmiaintesta,
1473750652459397127,_Gi_Ci_,
1473750210165854222,anna30048679,
1473748839785979911,CoviddiTruppen,
1473748176750333953,publio71,
1473748039860985870,Leryn23212354,
1473747884298457089,v1just7,
1473747545826500620,TartarugaRugosa,
1473747397767577606,liliaragnar,
1473747322186223618,Davide70405052,
1473747118292717573,CeciiiCi,
1473746464740458501,shetzup,
1473746049663705089,alkhimiyah,
1473742082581966851,Marisab79879802,
1473741912704225283,marilenagasbar1,
1473739864654893058,BassisMarco,
1473739363049693192,storico900,
1473738726694129674,zephira_137,
1473738513690640385,davidearduini,
1473736565998473231,frabarraco,
1473733033538768910,AnnaxLGxTS,
1473731411647647752,JPCK72,
1473731276536492038,Cla___________,
1473730934562299919,Bob86591692,
1473729527100719113,FACT60,
1473729418648604679,FraLauricella,
1473728903680249866,raffaellamucci1,
1473728880049627152,GabrieMariste,
1473728166590038017,FatimaCurzio,
1473727751265861638,FatimaCurzio,
1473727246020063243,Noninfluente,
1473726733031546882,Mario_Molinari,
1473726309343891463,fvtsQK7bvTo6Viv,
1473723642441838592,Frenk20483258,
1473722541105729548,NelaBombelli,
1473720444691918858,vitcastagna,
1473718862533308416,francescoRcan,
1473717012065144838,Gabriel92173003,
1473716197103394820,gianpi56,
1473716074793390086,Fortu36419972,
1473714884617584652,pierluca_mussi,
1473713520822960129,Dj_Mike238,
1473711318079361027,Ale_Calzoni,
1473711038919057409,sirenadelsud,
1473709810361245714,jhullypeereira,
1473709098168369158,SimoneZukov,
1473708741631610888,mi_son_rotto,
1473708739584831489,Klau662,
1473708319172964356,grecale66,
1473708005531262982,ugomuffo,
1473707889814654996,Guzzi19958320,
1473707793693782018,AleDucaConte,
1473707358220079107,ddgiusto,
1473706938605133827,robychisar,
1473706885983477770,magnificosergi2,
1473706839737090050,Nicola23453287,
1473706759319691272,Stefania_1972,
1473706720656510985,sfratazz,
1473705890876477451,eudaimonia00_,
1473705786329247749,Sfigattone,
1473704728102158350,Le_Baron__Rouge,
1473704035752591363,Bomba2H,
1473703908346368012,Nadiapiani,
