Id,Label,timeset,interval,colour,giant_component,cluster_eigen,cluster_kmeans,cluster_gn,cluster_mod,hashtags,gruppo,componentnumber,modularity_class
865205076159344640,3_carpe,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
1349813865417236481,Debora98398253,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
4307656647,Gemma04510476,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
55672337,apispsp,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
38903873,ddinno,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
568418849,komba_vany,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
162145923,ferre_franz,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
14897369,Emmeci,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,2,0
934140177571868672,Assunta30262347,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1466320156351680516,PatriP617,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1370643606520930312,NoGreenPass_,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2967886973,Bad_Linhat,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
366660837,_fiorucci,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
714692716567928832,tripleGGGx,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1093547596528926720,MAngiolieri,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1050753675445104640,Ernesto29296958,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1466421284263407630,OlPauli67,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1646281124,AValvecchia,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1169174599885611008,CuiProdest_67,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1370300701,anto_galli4,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
401507232,MaMaurizi9,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1245445880540467203,paolobura1,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1248307267,SorryNs,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1298528549591224320,cravattarossa,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
541099811,simonapecis,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1266649207,DriverMattia198,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
4851430133,LKynes4,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
834419884205469696,GiancarloPilus1,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
1255459757730775041,PKarpoi,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2354704705,tamangha,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1420711554270511107,DeodatoRibeira,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
816717166900809729,mrstone0856,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1342502335361273856,Bianca34874951,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
784489264100827137,Napalm51,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,3,0
1022925477504270336,IgorV01519720,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,3,0
942330933436469249,EPICURO39417589,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
917304116270989312,Pow_Wow_Indian,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
41068452,giacomofaustini,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,3,0
917423697979478016,littleCarme,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1026418206,dileguossi,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1449022180885422082,lucamazzotta69,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,3,0
