Id,Label,Interval,Colour
321228288,marsion65,,#fb1239
1426639026824564737,MaurizioCimino2,,#fb1239
272945830,AleC226,,#fb1239
745351426117869568,Massimi8900,,#fb1239
798461063494828032,IvanoPioli,,#fb1239
1053632622465818624,Efisio31251859,,#fb1239
1429231388394467332,Ilaria89965081,,#fb1239
1000480351905632258,MarceVann,,#fb1239
2187420112,brughen,,#fb1239
2175541491,47187297Bruna,,#fb1239
1197158807140483072,Marc852835993,,#fb1239
1320296479437836288,Mariang47614228,,#fb1239
1901258058,75Ginny,,#fb1239
363701163,iodalmare70,,#fb1239
2197175103,grecale66,,#fb1239
1444189918276767750,Andrew_bahbah,,#fb1239
2370797451,angelo_fornaro,,#fb1239
1423614587153305600,NadiaPazienza,,#fb1239
721992165505835009,pierluca_mussi,,#fb1239
1321232532495544326,RossiniTazio,,#fb1239
1430162268,sferriam,,#fb1239
1087476792007495680,NazzarenoMi,,#fb1239
1160826529624023041,2_crim,,#fb1239
1468933392326610954,Laura45770337,,#fb1239
1377439021,GPTurchi,,#fb1239
875178422,actarus1070,,#fb1239
2498916540,RedRoyJohn,,#fb1239
1449468040245035011,Claudia_2774,,#fb1239
416583838,melinacugliari,,#fb1239
1230454012199264257,francepolen,,#fb1239
909239401,DavideGiordy99,,#fb1239
2363670784,ernluccar,,#aaaacc
1386786871439659011,AnimaTantra,,#fb1239
1443847898735783967,DesireemailCom1,,#fb1239
928345597182177286,Gianluc68325330,,#fb1239
1449323956415209477,odylori,,#aaaacc
1231573077722632192,Roxy19794,,#aaaacc
1249848746,73Orlando73,,#fb1239
20552360,ltonino64,,#fb1239
1436294611559923712,MariaTe34150745,,#fb1239
416439103,CordioliMirco,,#fb1239
1431892131791134724,Edogio64,,#fb1239
740077770001244160,libero12021,,#fb1239
147943469,claudiadido,,#fb1239
1005128837871669248,l_mirea,,#fb1239
420419717,MarcoPic12,,#fb1239
3366460893,GabZeno,,#fb1239
1410870161985388546,AseroGiovanna,,#fb1239
1248373124778921985,alex53235379,,#fb1239
708318936513777664,_MoonDreams,,#fb1239
2716446892,steppenwolf1976,,#fb1239
917423697979478016,littleCarme,,#fb1239
1423975235427131393,Chicchi30034355,,#fb1239
4012699222,lorenzodoredor1,,#fb1239
3047940471,ChiaraLocatell7,,#fb1239
397059204,GiovanniGiuli,,#fb1239
4896258532,EricrapErikrap,,#fb1239
1460389568734187522,MajorTom2050,,#fb1239
1423744944544550912,badeamariana81,,#fb1239
1427478474,sarahross71,,#aaaacc
1266634908,zettai_Ari,,#fb1239
1236336724399329280,Maurizi89669463,,#fb1239
1015918388428918784,FPennabianca,,#fb1239
1186014796833009664,quel_72,,#fb1239
1007584526971924483,caterin40283689,,#aaaacc
32596998,ilMarco,,#fb1239
792793865489117184,AnnaP1953,,#fb1239
1386285569689497602,Ada13278964,,#fb1239
176475756,MissAle111,,#fb1239
2967886973,Bad_Linhat,,#fb1239
1347233231180017666,cometarossa1,,#fb1239
1435036992056737810,PuntoCriticoWeb,,#fb1239
872009898145533954,redblack681,,#fb1239
430544226,missypippi,,#aaaacc
1106648386470666241,Lucilla93730473,,#fb1239
4853695089,PFiamingo,,#fb1239
1105021068,L1C1L1C1,,#fb1239
1436197225428922369,IpaziaFilosofia,,#aaaacc
211254120,piaghe,,#fb1239
1432452931002019849,L_uomoqualcuno,,#fb1239
3631495096,MonicaMofanta,,#fb1239
1469377081054277637,Vincent38939293,,#fb1239
1465740984256507907,mila_lavi,,#fb1239
1424689315,manduchino,,#fb1239
2247093145,fabiottofab,,#fb1239
536769582,teresa3345,,#fb1239
1052983992,78Patelli,,#fb1239
489331719,eowyn962010,,#fb1239
1229014265673256961,AFraternale,,#fb1239
1338213606740144128,TZodiaca,,#fb1239
1455293360051216385,Domenic09598472,,#fb1239
1408567643662127106,EsercitoBalanzo,,#fb1239
525196431,giuz73,,#aaaacc
1492509740,OBonomi,,#fb1239
489722273,s_dellavedova,,#fb1239
1410886618538557440,cesololinter_19,,#aaaacc
948007465773395968,MalacridaRafa,,#fb1239
496862827,tamamaris,,#fb1239
781635668195827716,passannante9,,#fb1239
636328779,AlexBazzaro,,#aaaacc
57358236,lucabattanta,,#fb1239
949217047078162432,Silvano05230100,,#fb1239
1438796669986947073,boosterdx1,,#fb1239
1475049574809186307,Denised80587321,,#fb1239
1244348233402462209,escapeofthemat1,,#aaaacc
1088748639349100544,MariMario1,,#aaaacc
917038232,DavideTasselli,,#fb1239
1338403125670129666,NobileAnima,,#fb1239
1245445880540467203,paolobura1,,#fb1239
1322543941,daniele19921,,#fb1239
1123858502118776834,riccardosanna14,,#fb1239
850324301450555392,emilio05714955,,#fb1239
1431187217876127744,ZanniniZannin2,,#fb1239
3318549610,trincherov,,#fb1239
1376122043779973121,Lilla16933851,,#fb1239
1356156544229003265,ENRICO27218318,,#fb1239
4645281629,lametabasta,,#fb1239
711830999227899906,Spenk78,,#fb1239
1436370361516441601,flagosambro,,#fb1239
561569814,monica1169,,#fb1239
1445118390700498957,acidaepungente,,#fb1239
1205428460719620096,2_italie,,#fb1239
1442589814449078272,Bluerose6898,,#fb1239
1101307491713990656,EdVenture9,,#fb1239
497875655,GinoDeVita2,,#fb1239
1077644550,annarigel,,#fb1239
799219281451958272,Serenel73,,#aaaacc
578975558,panto908,,#fb1239
39941615,rosaca,,#fb1239
1447276410721144833,Carlott92492073,,#fb1239
1234744238228803585,LuigiBevilacq17,,#aaaacc
761170444904964096,Bettabetta59,,#fb1239
3028809503,kategullo75,,#aaaacc
1428603283531309061,dessere88,,#fb1239
540066448,mbbelluco,,#fb1239
1435590896502849538,Pv42453019Pv,,#fb1239
4192961459,Net2Ayurveda,,#fb1239
71593119,DossierTibet,,#fb1239
1423166823684509696,GianandreaGorla,,#aaaacc
1923305407,mgmand500,,#aaaacc
1032653803575828480,Rosanna531,,#fb1239
2452494826,PseudoEly,,#aaaacc
824021536747225091,SergioFerrara10,,#fb1239
1348990498183258117,GaribaldiPaolo,,#fb1239
1326530442577768448,Giordano218,,#aaaacc
38903873,ddinno,,#fb1239
1344383673261584386,simoncol2,,#fb1239
1159915009,darianichele,,#aaaacc
1375740452385742849,1solocapitan,,#fb1239
465860666,ZiaGabriella1,,#fb1239
1241659242404352000,CoronaLupo,,#fb1239
422706269,_Anahys_,,#fb1239
1434078813063876608,rutilibus,,#fb1239
1388269877291634688,Renata91493146,,#fb1239
96576495,razorblack66,,#fb1239
1345129094619537408,Fabiostefano85,,#fb1239
2233536302,robertoluciani6,,#fb1239
1316658380,effelina7155,,#fb1239
1349169332773916673,zZ__z__47557646,,#fb1239
999280766,eleaugusta,,#fb1239
1360341200990068741,LucaViaggio,,#fb1239
487914632,isolano781,,#fb1239
1433103620413788164,Maurofabio31,,#fb1239
464855487,vlasec_ciotto,,#fb1239
2385799301,annadelbello1,,#aaaacc
1121931434,VogelMonica,,#fb1239
1617818378,VannaRicci,,#fb1239
854240012149424128,sabrinaEx5S,,#fb1239
265679140,virtualex71,,#fb1239
464822421,CiaoGrosso,,#fb1239
1203087605849608192,sostengoi40,,#fb1239
2155461192,Venere781,,#fb1239
722641382,LucianoCesarett,,#fb1239
1209249979744817152,AlbertoDazzani,,#aaaacc
1432030614249685002,LaGrace645,,#fb1239
2944136181,ITedesca,,#fb1239
276588654,glavutan_Mrki,,#fb1239
1266769243,BattDe,,#fb1239
1069926132231925760,hodordue,,#aaaacc
145802194,mrcrto,,#aaaacc
1471183075359043588,Ale12951421,,#fb1239
3103748006,peppiniellopz,,#aaaacc
1296509725,pensivin,,#aaaacc
1391958840,yellowbeppe,,#fb1239
1391766884052254720,CarlaKaky,,#fb1239
1114817509910355973,Wolf09722148,,#aaaacc
914924414332014593,granati_mauro,,#fb1239
995657337393287168,Luciano06815942,,#aaaacc
1364430734,dania1964,,#fb1239
1029467541624770561,Giandom84354994,,#aaaacc
1121951191,rikercommander,,#aaaacc
1370300701,anto_galli4,,#aaaacc
1429096741945716741,ioeilmiomare,,#aaaacc
1247958207231860738,IvanoKaramazov,,#aaaacc
1302616789348691968,OrtigiaP,,#aaaacc
2999932538,intoccabile_l,,#fb1239
1330818619375280128,ELEONORACASSAN9,,#fb1239
742397759991480320,manu_etoile,,#fb1239
396883287,MilellaMarco,,#aaaacc
3252394091,RosaniFlavia,,#aaaacc
972450439638802432,Alessio90505441,,#aaaacc
1163431789555306498,ermarluck,,#aaaacc
1392633826573266945,MartinezDaqui,,#fb1239
1106449976,frankfranfranco,,#fb1239
910883562311835648,The_EuropeanGuy,,#fb1239
1428767360,MaurizioFuochi,,#fb1239
1384530429869531143,Gaby45yo1,,#fb1239
1196018762593525765,LuisaPistini,,#fb1239
199620260,filo_78,,#aaaacc
2800101452,Stibba_Maria,,#fb1239
2326140878,lorenzotonion,,#fb1239
898297518,Hibbing59,,#aaaacc
305255857,Rosyfree74,,#fb1239
357048439,nex1982,,#fb1239
845585171491540996,grandejacko,,#fb1239
2216051760,1GROSSI,,#fb1239
502018244,StefaniaVaselli,,#aaaacc
1238143563017474049,Flavr7,,#aaaacc
400504464,Giovidip,,#fb1239
