Id,Label,Interval,Colour,Giant_Component,cluster_eigen,cluster_kmeans,Colour_GN,Cluster_mod
816717166900809729,mrstone0856,,#99cccc,1,1,1,1,#aaaacc
1342502335361273856,Bianca34874951,,#99cccc,1,1,1,1,#aaaacc
784489264100827137,Napalm51,,#99cccc,0,0,0,0,#aaaacc
1022925477504270336,IgorV01519720,,#99cccc,0,0,0,0,#aaaacc
942330933436469249,EPICURO39417589,,#99cccc,1,1,1,1,#aaaacc
917304116270989312,Pow_Wow_Indian,,#99cccc,1,2,1,1,#aaaacc
41068452,giacomofaustini,,#99cccc,0,0,0,0,#aaaacc
917423697979478016,littleCarme,,#99cccc,1,2,1,1,#aaaacc
1026418206,dileguossi,,#99cccc,1,1,1,1,#aaaacc
1449022180885422082,lucamazzotta69,,#99cccc,0,0,0,0,#aaaacc
1080528002,WSalvaterra,,#99cccc,1,1,1,1,#aaaacc
1454870791951167490,sfratazz,,#99cccc,1,2,1,1,#aaaacc
1035805719789010945,fabiospes1,,#99cccc,1,1,1,1,#aaaacc
2450132407,FlavioFoxes,,#99cccc,1,1,1,1,#aaaacc
1000959834,Hrotbertha,,#99cccc,1,1,1,1,#aaaacc
1409830264977645570,Luckyma89652325,,#99cccc,1,2,1,1,#aaaacc
763310989232177152,LoredanaNavarra,,#99cccc,1,1,1,1,#aaaacc
1393255723015057408,Enrico26659481,,#99cccc,1,1,1,1,#aaaacc
2666051378,severino_nappi,,#99cccc,1,1,1,1,#aaaacc
810235254870937600,ferillo2,,#99cccc,1,1,1,1,#aaaacc
1445146782753861635,MaleficaAvita,,#99cccc,1,1,1,1,#aaaacc
489331719,eowyn962010,,#99cccc,1,2,2,1,#aaaacc
279178016,ventoc,,#99cccc,1,1,1,1,#aaaacc
4615107617,Lidia550449671,,#99cccc,1,1,1,1,#aaaacc
1192428185192935424,Giovann04712430,,#99cccc,1,1,1,1,#aaaacc
1106654538512154624,VincenzaSMF,,#99cccc,1,1,1,1,#aaaacc
607226144,MarcoTognini,,#99cccc,1,1,1,1,#aaaacc
1080242342337134592,G96831072,,#99cccc,1,1,1,1,#aaaacc
1473628468051157001,PonzioPilato72,,#99cccc,1,1,1,1,#aaaacc
1422305016619151362,cribertolla,,#99cccc,1,2,1,1,#aaaacc
1015331362969210880,lomartirecarmen,,#99cccc,1,1,1,1,#aaaacc
949928755,MurelliElena,,#99cccc,1,1,1,1,#aaaacc
1473951785136148488,dominiquezero0,,#99cccc,1,1,1,1,#aaaacc
198061659,keniars40,,#99cccc,0,0,0,0,#aaaacc
1435124359711150082,Ivy69639273,,#99cccc,1,1,1,1,#aaaacc
1056454514,MimmoFiori55,,#99cccc,1,1,1,1,#aaaacc
1058696390,liafriggi,,#99cccc,1,1,1,1,#aaaacc
1370605363,Eriador,,#99cccc,1,2,1,1,#aaaacc
475540015,michele_apicell,,#99cccc,1,1,1,2,#aaaacc
1436429267785633792,LaurentGasnier9,,#99cccc,1,1,1,1,#aaaacc
1405888434917593098,MATTE1973S,,#99cccc,1,2,1,1,#aaaacc
1408300345307115521,Patrizi34819700,,#99cccc,1,1,1,1,#aaaacc
2436207123,dolores20943592,,#99cccc,1,2,2,1,#aaaacc
1032521732962299904,AlexD83778610,,#99cccc,1,1,1,1,#aaaacc
1313354509968642048,Mauro26739276,,#99cccc,1,2,1,1,#aaaacc
222603056,storm19737,,#99cccc,1,1,1,1,#aaaacc
3290366427,manuscod,,#99cccc,1,1,1,1,#aaaacc
1423166823684509696,GianandreaGorla,,#99cccc,1,1,1,1,#aaaacc
1077644550,annarigel,,#99cccc,1,2,1,1,#aaaacc
1361277830,KettyFogliani,,#99cccc,1,1,1,1,#aaaacc
1008863797,neranimo,,#99cccc,1,1,1,1,#aaaacc
1439860744502272000,UrsinaMelcher,,#99cccc,1,1,1,1,#aaaacc
121466746,Pinx67,,#99cccc,1,1,1,1,#aaaacc
4869405783,avv_gr,,#99cccc,1,2,1,1,#aaaacc
3017911991,angelorp2611,,#99cccc,1,1,1,1,#aaaacc
1158758131448590336,Piero42395724,,#99cccc,1,2,1,1,#aaaacc
1150751883566493696,MariaLu91149151,,#99cccc,1,1,1,1,#aaaacc
973846730,sissyturtlexxx,,#99cccc,1,1,1,1,#aaaacc
1473745938984353799,cacciaramarri,,#99cccc,1,1,1,1,#aaaacc
957072768,lunedi19,,#99cccc,1,1,1,1,#aaaacc
2845206706,roby011268,,#99cccc,1,2,1,1,#aaaacc
3010293559,Dadazyb,,#99cccc,1,2,1,1,#aaaacc
970625209060548609,Silvio_710719,,#99cccc,0,0,0,0,#aaaacc
1456208553715380224,FedericoGielle,,#99cccc,1,1,1,1,#aaaacc
1473559880053235717,RomGarg,,#99cccc,1,2,1,1,#aaaacc
448335186,giangoSGV,,#99cccc,1,1,1,1,#aaaacc
1447321916314988544,ErnestUdogwu,,#99cccc,1,1,1,1,#aaaacc
763146166620057600,ZioKlint,,#99cccc,1,1,1,1,#aaaacc
1322543941,daniele19921,,#99cccc,1,2,2,1,#aaaacc
15317484,mpu78,,#99cccc,1,2,1,1,#aaaacc
1051911015468883968,Mirco78758600,,#99cccc,1,1,1,1,#aaaacc
910235561469923328,Raffael74738563,,#99cccc,1,1,1,1,#aaaacc
147125416,danalloydthomas,,#99cccc,1,1,1,1,#aaaacc
1172571984967942146,AndreaLisi15,,#99cccc,1,1,1,1,#aaaacc
1448170445212164096,Amarant91507041,,#99cccc,1,1,1,1,#aaaacc
582265897,AssuntaAccetto1,,#99cccc,1,2,1,1,#aaaacc
33501253,guglielmopicchi,,#99cccc,1,1,1,1,#aaaacc
1314452513249275904,Miniver841,,#99cccc,1,1,1,1,#aaaacc
1455237454240354306,HMartins1980,,#99cccc,1,1,1,1,#aaaacc
1051906012104540161,ManfrediPotenti,,#99cccc,1,1,1,1,#aaaacc
993914552747249664,Tommaso74574650,,#99cccc,1,1,1,1,#aaaacc
1263042661,marcodelucact60,,#99cccc,1,1,1,1,#aaaacc
1027608429840551936,Aysha61727975,,#99cccc,1,1,1,1,#aaaacc
1356156544229003265,ENRICO27218318,,#99cccc,1,2,1,1,#aaaacc
13514762,LegaSalvini,,#99cccc,1,1,1,1,#aaaacc
2900789860,Noiconsalvini,,#99cccc,1,1,1,1,#aaaacc
1041831000,sciantokescia,,#99cccc,1,1,1,1,#aaaacc
808738393,elvivalerio,,#99cccc,1,1,1,1,#aaaacc
992295952932225024,alessan75877023,,#99cccc,1,1,1,1,#aaaacc
449278512,verita2019,,#99cccc,1,1,1,1,#aaaacc
