Id,Label,Interval,Colour
321228288,marsion65,,1
1426639026824564737,MaurizioCimino2,,2
272945830,AleC226,,2
745351426117869568,Massimi8900,,2
798461063494828032,IvanoPioli,,1
1053632622465818624,Efisio31251859,,2
1429231388394467332,Ilaria89965081,,2
1000480351905632258,MarceVann,,2
2187420112,brughen,,2
2175541491,47187297Bruna,,2
1197158807140483072,Marc852835993,,2
1320296479437836288,Mariang47614228,,2
1901258058,75Ginny,,2
363701163,iodalmare70,,1
2197175103,grecale66,,1
1444189918276767750,Andrew_bahbah,,2
2370797451,angelo_fornaro,,1
1423614587153305600,NadiaPazienza,,3
721992165505835009,pierluca_mussi,,2
1321232532495544326,RossiniTazio,,1
1430162268,sferriam,,2
1087476792007495680,NazzarenoMi,,2
1160826529624023041,2_crim,,2
1468933392326610954,Laura45770337,,2
1377439021,GPTurchi,,2
875178422,actarus1070,,1
2498916540,RedRoyJohn,,1
1449468040245035011,Claudia_2774,,2
416583838,melinacugliari,,2
1230454012199264257,francepolen,,2
909239401,DavideGiordy99,,1
2363670784,ernluccar,,1
1386786871439659011,AnimaTantra,,3
1443847898735783967,DesireemailCom1,,3
928345597182177286,Gianluc68325330,,2
1449323956415209477,odylori,,1
1231573077722632192,Roxy19794,,1
1249848746,73Orlando73,,2
20552360,ltonino64,,2
1436294611559923712,MariaTe34150745,,3
416439103,CordioliMirco,,2
1431892131791134724,Edogio64,,2
740077770001244160,libero12021,,2
147943469,claudiadido,,2
1005128837871669248,l_mirea,,2
420419717,MarcoPic12,,2
3366460893,GabZeno,,2
1410870161985388546,AseroGiovanna,,2
1248373124778921985,alex53235379,,1
708318936513777664,_MoonDreams,,2
2716446892,steppenwolf1976,,2
917423697979478016,littleCarme,,2
1423975235427131393,Chicchi30034355,,2
4012699222,lorenzodoredor1,,2
3047940471,ChiaraLocatell7,,2
397059204,GiovanniGiuli,,3
4896258532,EricrapErikrap,,2
1460389568734187522,MajorTom2050,,1
1423744944544550912,badeamariana81,,1
1427478474,sarahross71,,1
1266634908,zettai_Ari,,3
1236336724399329280,Maurizi89669463,,2
1015918388428918784,FPennabianca,,3
1186014796833009664,quel_72,,1
1007584526971924483,caterin40283689,,1
32596998,ilMarco,,1
792793865489117184,AnnaP1953,,2
1386285569689497602,Ada13278964,,2
176475756,MissAle111,,2
2967886973,Bad_Linhat,,2
1347233231180017666,cometarossa1,,1
1435036992056737810,PuntoCriticoWeb,,2
872009898145533954,redblack681,,2
430544226,missypippi,,2
1106648386470666241,Lucilla93730473,,2
4853695089,PFiamingo,,1
1105021068,L1C1L1C1,,2
1436197225428922369,IpaziaFilosofia,,1
211254120,piaghe,,3
1432452931002019849,L_uomoqualcuno,,3
3631495096,MonicaMofanta,,3
1469377081054277637,Vincent38939293,,3
1465740984256507907,mila_lavi,,2
1424689315,manduchino,,1
2247093145,fabiottofab,,2
536769582,teresa3345,,1
1052983992,78Patelli,,2
489331719,eowyn962010,,2
1229014265673256961,AFraternale,,2
1338213606740144128,TZodiaca,,#aaaacc
1455293360051216385,Domenic09598472,,2
1408567643662127106,EsercitoBalanzo,,2
525196431,giuz73,,1
1492509740,OBonomi,,2
489722273,s_dellavedova,,2
1410886618538557440,cesololinter_19,,1
948007465773395968,MalacridaRafa,,2
496862827,tamamaris,,2
781635668195827716,passannante9,,3
636328779,AlexBazzaro,,1
57358236,lucabattanta,,1
949217047078162432,Silvano05230100,,1
1438796669986947073,boosterdx1,,3
1475049574809186307,Denised80587321,,1
1244348233402462209,escapeofthemat1,,1
1088748639349100544,MariMario1,,1
917038232,DavideTasselli,,3
1338403125670129666,NobileAnima,,1
1245445880540467203,paolobura1,,3
1322543941,daniele19921,,2
1123858502118776834,riccardosanna14,,2
850324301450555392,emilio05714955,,2
1431187217876127744,ZanniniZannin2,,2
3318549610,trincherov,,1
1376122043779973121,Lilla16933851,,1
1356156544229003265,ENRICO27218318,,2
4645281629,lametabasta,,2
711830999227899906,Spenk78,,2
1436370361516441601,flagosambro,,2
561569814,monica1169,,2
1445118390700498957,acidaepungente,,3
1205428460719620096,2_italie,,2
1442589814449078272,Bluerose6898,,3
1101307491713990656,EdVenture9,,3
497875655,GinoDeVita2,,#aaaacc
1077644550,annarigel,,2
799219281451958272,Serenel73,,2
578975558,panto908,,2
39941615,rosaca,,3
1447276410721144833,Carlott92492073,,2
1234744238228803585,LuigiBevilacq17,,2
761170444904964096,Bettabetta59,,2
3028809503,kategullo75,,1
1428603283531309061,dessere88,,3
